"parameter","post_mean","post_sd","ci_025","ci_975"
"sigma2",0.342036086921168,0.149321718743,0.148756978186867,0.706862033537631
"tau2",3.87189438080655,0.190259770006944,3.53339274819092,4.26936624307836
"rho",0.0678781114444091,0.101590546176658,0.0144535748409146,0.22707570772542
"intercept",6.99256714842643,0.259138076070324,6.47258210710501,7.47839881455532
"bath",16.2248166991101,1005.2351225193,-1960.17966011453,1983.42740670362
"kitchen",-0.727533227952883,983.625551896369,-1946.24971628489,1922.77875457793
"cheating",13.5027721728873,989.643520913121,-1929.71280951129,1962.28133686586
"loc_good",-13.6816301209945,1000.92593534792,-1970.34744049893,1954.39295445715
"loc_top",-2.62239369146038,1000.305448775,-2030.20652073982,1959.767951963
"tau2_s_area",0.0230548983061648,0.023558953301215,0.00364758988612172,0.085181388098633
"tau2_s_yearc",0.0102887840182734,0.00951477158976115,0.00222122094536423,0.03447687346724
