"p","phase","n","M","n_iter","n_burn","c_int_true","cell","DGP","Model","n_int_blocks","RMSE_f1","RMSE_f2","RMSE_f3","RMSE_f4","RMSE_f12","cov_f12","RMSE_y","sigma2_mean","tau2_mean","rho_mean","WAIC","p_WAIC","accept_sigma2","accept_tau2","accept_rho","elapsed_sec"
2,1,300,8,3000,1000,1.5,"A","NULL","M0",0,0.18097372001608,0.0380612621697664,NA,NA,NA,NA,1.09678043934473,0.736024138875548,0.269614817176852,0.304573704677913,1171.45905178241,130.366223184497,0.728333333333333,0.307,0.712333333333333,395.82
2,1,300,8,3000,1000,1.5,"B","NULL","M1",1,0.181787526100763,0.0373315866061182,NA,NA,0.0203233215838562,1,1.10312447900097,0.747757128494554,0.265166773426156,0.302743967183146,1165.98253860212,126.272987253927,0.703,0.331666666666667,0.703333333333333,350.920000000002
2,1,300,8,3000,1000,1.5,"C","INT","M0",0,0.202495204199895,0.0294381607826663,NA,NA,NA,NA,0.635512721058504,0.241066336499349,0.290454105181829,0.131450143281849,644.584821616052,24.2054795551194,0.694,0.324333333333333,0.751666666666667,215.09
2,1,300,8,3000,1000,1.5,"D","INT","M1",1,0.191858297267628,0.0566243781759264,NA,NA,0.054728209822222,1,0.607994262280795,0.240243653788116,0.267158658350267,0.143654081922028,632.312779555032,28.2806668030635,0.683333333333333,0.341666666666667,0.746333333333333,219.099999999999
2,2,300,8,3000,1000,1.5,"A","NULL","M0",0,0.181915977735107,0.0197775936691457,NA,NA,NA,NA,1.05010405207615,0.887366422236301,0.213581434926959,0.342536251993165,1172.40281738429,138.250567829697,0.707333333333333,0.324,0.701,211.610000000001
2,2,300,8,3000,1000,1.5,"B","NULL","M1",1,0.180635662613883,0.020462286813969,NA,NA,0.0325441451663373,1,1.04213163698123,0.75140356599782,0.209322008787633,0.318890847400884,1140.83579298424,128.809383270791,0.724,0.337333333333333,0.706,212.43
2,2,300,8,3000,1000,1.5,"C","INT","M0",0,0.193963569588628,0.0383690194830818,NA,NA,NA,NA,0.83263024911931,0.503018525382004,0.294707776625854,0.316733541027019,947.475677114057,95.7932585021166,0.720666666666667,0.320333333333333,0.745333333333333,209.710000000003
2,2,300,8,3000,1000,1.5,"D","INT","M1",1,0.19173635623396,0.0637602824794042,NA,NA,0.072626297810516,1,0.79013380927742,0.485194043319308,0.253720956149101,0.311252564774846,910.114588282178,89.861491619504,0.732333333333333,0.322666666666667,0.732666666666667,219.399999999998
3,1,300,8,3000,1000,1.5,"A","NULL","M0",0,0.179034668179187,0.036926265127726,0.0441326941165212,NA,NA,NA,0.893515770613982,0.551592540094351,0.243504414804307,0.197778437294571,935.639436553793,73.0488970766277,0.699,0.341666666666667,0.707333333333333,210.970000000001
3,1,300,8,3000,1000,1.5,"B","NULL","M1",1,0.182214544250952,0.0405022359034062,0.0422595294436234,NA,0.03745080173335,1,0.896543027516035,0.561504840534121,0.237949093634559,0.195580215002863,931.433827048657,70.3172786879313,0.691,0.329333333333333,0.722,212.200000000001
3,1,300,8,3000,1000,1.5,"C","INT","M0",0,0.191765033674588,0.0438297226933237,0.0415696516123469,NA,NA,NA,0.865858329311308,0.475764865744792,0.234051165211878,0.23201260272135,942.590089105158,89.8014173916319,0.708333333333333,0.337666666666667,0.723333333333333,201.639999999999
3,1,300,8,3000,1000,1.5,"D","INT","M1",1,0.189602317811125,0.0632964914013001,0.0301360708158717,NA,0.0632566008701334,1,0.863890037476252,0.503944255271451,0.216348054671653,0.240707526065935,956.164486146233,97.4911244062556,0.699333333333333,0.332333333333333,0.727333333333333,205.389999999999
3,2,300,8,3000,1000,1.5,"A","NULL","M0",0,0.156377163053712,0.0402719557997087,0.0375125981304846,NA,NA,NA,0.657237793795559,0.28221234571323,0.245214731468174,0.149287837073262,687.704643859855,37.2332417532355,0.677333333333333,0.322,0.72,198.59
3,2,300,8,3000,1000,1.5,"B","NULL","M1",3,0.155342765934636,0.0401326319061688,0.0344753919825559,NA,0.0260607843491178,1,0.649595208321694,0.3011887554452,0.246109926248461,0.158391060333725,695.694752978935,41.8831346945496,0.686333333333333,0.332666666666667,0.726333333333333,214.379999999997
3,2,300,8,3000,1000,1.5,"C","INT","M0",0,0.191722625643002,0.0508139140184393,0.0569278796739642,NA,NA,NA,0.617861611112117,0.272131138627812,0.258408270955569,0.181014076512852,671.282325644886,41.3155739588249,0.690333333333333,0.313,0.744333333333333,200.120000000003
3,2,300,8,3000,1000,1.5,"D","INT","M1",3,0.184858822478522,0.0805628750587417,0.056941966119566,NA,0.100148474127552,0.9,0.593279503378335,0.321280760261141,0.238668426643176,0.209420520273452,681.313248063917,51.141911569502,0.695,0.337,0.739,221.739999999998
