"n","p_real","p_garbage","p_total","k","df_resid","status","power","FPR","n_missed","missed","rho_hat","sigma2_hat","tau2_hat"
100,5,1,6,31,69,"OK",0.8,0,1,"X3",0.205611576709632,0.756142145244193,0.172490954400586
100,5,5,10,51,49,"OK",0.6,0,2,"X2,X3",0.125474945909592,0.834534523880329,0.168558924918985
100,5,8,13,66,34,"OK",0.6,0,2,"X3,X4",0.748203334008066,0.212886106332387,0.201210841091013
100,5,11,16,81,19,"LOW_DF",0.4,0,3,"X3,X4,X5",0.384758665923104,2.95830134793169,0.0994401726030106
100,5,13,18,91,9,"LOW_DF",0.4,0,3,"X3,X4,X5",12.9235902306993,73.8953158516351,0.218876079472986
100,5,14,19,96,4,"LOW_DF",0,0,5,"X1,X2,X3,X4,X5",0.0976657458368331,1.24927975365587,2.97457910109753e-07
100,5,15,20,101,-1,"INFEASIBLE",NA,NA,NA,"",NA,NA,NA
200,5,7,12,61,139,"OK",1,0,0,"",0.198550836073825,0.667191831863652,0.198871004419705
200,5,15,20,101,99,"OK",1,0.133333333333333,0,"",0.181021398683689,1.31010921989267,0.126786522903279
200,5,22,27,136,64,"OK",0.8,0.181818181818182,1,"X3",0.149543261974692,0.7717630992422,0.077325235116938
200,5,28,33,166,34,"OK",0.6,0,2,"X3,X4",0.0811785567683277,0.423095008737828,0.126702612243244
200,5,32,37,186,14,"LOW_DF",0.8,0,1,"X5",0.239480476651381,0.121212815799136,0.100317230417776
200,5,34,39,196,4,"LOW_DF",0,0,5,"X1,X2,X3,X4,X5",1.17100587212742,20.8350202339634,6.05083532389584e-07
200,5,35,40,201,-1,"INFEASIBLE",NA,NA,NA,"",NA,NA,NA
400,5,19,24,121,279,"OK",1,0,0,"",0.292526804387183,2.00994184528698,0.163225146958263
400,5,35,40,201,199,"OK",1,0.114285714285714,0,"",0.0785219606229419,0.245976295587579,0.111252907797342
400,5,50,55,276,124,"OK",0.8,0,1,"X3",0.282219760803753,0.782812376632585,0.206304325667676
400,5,62,67,336,64,"OK",0.8,0,1,"X3",0.145865614253404,0.956217047488882,0.150020485310212
400,5,70,75,376,24,"OK",0,0,5,"X1,X2,X3,X4,X5",0.258090610117408,1.99987270738402,0.232790371442946
400,5,74,79,396,4,"LOW_DF",0,0,5,"X1,X2,X3,X4,X5",0.00142327709136936,0.204472655277098,6.24937409108595e-05
400,5,75,80,401,-1,"INFEASIBLE",NA,NA,NA,"",NA,NA,NA
